title,authors,year,venue,arxiv_id,doi,topic,relevance_to_bioshield
"SeqGAN: Sequence Generative Adversarial Nets with Policy Gradient","Yu et al.",2017,AAAI,,,"text generation — GAN","SeqGAN: out-of-family fake generator in Condition B"
"TextAttack: A Framework for Adversarial Attacks Data Augmentation and Adversarial Training in NLP","Morris et al.",2020,EMNLP System Demonstrations,,,"adversarial NLP framework","Silent best-val-AUC default we document as causing C=D pathology"
"Is BERT Really Robust? A Strong Baseline for Natural Language Attack on Text Classification and Entailment","Jin et al.",2020,AAAI,,,"adversarial NLP — TextFooler","Token-swap adversarial attack; related to our agent-rewrite strategy"
"BERT-ATTACK: Adversarial Attack Against BERT Using BERT","Li et al.",2020,EMNLP,,,"adversarial NLP","BERT-based attack; related family to our BiomedBERT adversarial loop"
"Training Language Models to Follow Instructions with Human Feedback","Ouyang et al.",2022,NeurIPS,2203.02155,,"RLHF — instruction tuning","RLHF context for generator hardening; motivates DPO-based adversary"
"Direct Preference Optimization: Your Language Model is Secretly a Reward Model","Rafailov et al.",2023,NeurIPS,,,"DPO — preference optimization","DPO-based generator hardening proposed as Condition E+ upgrade"
"Red Teaming Language Models with Language Models","Perez et al.",2022,EMNLP,,,"LLM red-teaming","LLM-as-attacker framing; frames Qwen agent in adversarial context"
"Red Teaming Language Models to Reduce Harms: Methods Scaling Behaviors and Lessons Learned","Ganguli et al.",2022,arXiv,2209.07858,,"LLM red-teaming — Anthropic","Scaling red-teaming analysis; frames agent loop scaling in §VII"
"Jailbreaking Black Box Large Language Models in Twenty Queries","Chao et al.",2024,arXiv,2310.08419,,"LLM jailbreaking","PAIR attack; related to iterative adversarial rewriting loop"
"AutoDAN: Generating Stealthy Jailbreak Prompts on Aligned Large Language Models","Liu et al.",2023,arXiv,2310.04451,,"LLM jailbreaking — stealthy","Automated jailbreak related to agent-based evasion"
"Tree of Attacks: Jailbreaking Black-Box LLMs Automatically","Mehrotra et al.",2024,arXiv,2312.02119,,"LLM red-teaming — tree search","Tree-structured adversarial search; motivates multi-round agent loop"
"A Watermark for Large Language Models","Kirchenbauer et al.",2023,ICML,2301.10226,,"LLM watermarking","Watermarking as alternative to classifier-based detection"
"Abstracts Written by ChatGPT Fool Scientists","Else",2023,Nature,,10.1038/d41586-023-00056-7,"biomedical misuse — motivation","Direct motivation for BioShield: biomedical fake-abstract risk"
"Artificial Intelligence Can Generate Fraudulent but Authentic-Looking Scientific Medical Articles","Majovsky et al.",2023,Journal of Medical Internet Research,,10.2196/46924,"biomedical misuse — motivation","Systematic risk framing; cited in Introduction"
"Datasets: A Community Library for Natural Language Processing","Lhoest et al.",2021,EMNLP System Demonstrations,,,"NLP tooling — datasets","HuggingFace Datasets: used to stream PubMed corpus"
"Domain-Adversarial Training of Neural Networks","Ganin et al.",2016,JMLR,,,"domain adaptation","DANN domain-adversarial pretraining; proposed for multi-domain future work"
"Release Strategies and the Social Impacts of Language Models","Solaiman et al.",2019,arXiv,1908.09203,,"LLM safety — societal impact","GPT-2 staged release; early framing of fake-text risk"
"Abstraction of Evidence Synthesis for Biomedical Text Mining","Verbeke et al.",2012,IEEE Trans. on Knowledge and Data Engineering,,,"biomedical NLP","Context for biomedical NLP task difficulty"
"Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer","Raffel et al.",2020,JMLR,1910.10683,,"transfer learning — T5","T5 transfer learning framing; background for domain-specific pretraining"
"BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding","Devlin et al.",2019,NAACL,,,"PLM — BERT","BERT backbone underlying BiomedBERT; foundational pretrained encoder"
"Attention Is All You Need","Vaswani et al.",2017,NeurIPS,,,"Transformer architecture","Transformer: foundational architecture for detector and generators"
"Language Models are Few-Shot Learners","Brown et al.",2020,NeurIPS,2005.14165,,"LLM — GPT-3","GPT-3: represents the mixed-LLM family in RAID evaluation"
"Llama 2: Open Foundation and Fine-Tuned Chat Models","Touvron et al.",2023,arXiv,2307.09288,,"open LLM","Llama family: used in Condition E multi-family training corpus"
"The Llama 3 Herd of Models","Meta AI",2024,arXiv,2407.21783,,"open LLM","Llama-3.2-3B-Instruct: Condition E third generator family"
